Лексема,Тип лексемы,Значение
a,Идентификатор,1
:=,Знак присваивания,
0.5,Вещественная константа,0.5
:=,Знак присваивания,
a,Идентификатор,1
if,Ключевое слово,Х1
a,Идентификатор,1
=,Оператор сравнения,
b,Идентификатор,4
then,Ключевое слово,Х2
c,Идентификатор,5
:=,Знак присваивания,
a,Идентификатор,1
:=,Знак присваивания,
c,Идентификатор,5
else,Ключевое слово,Х3
c,Идентификатор,5
:=,Знак присваивания,
3.1,Вещественная константа,3.1
a,Идентификатор,1
:=,Знак присваивания,
2.2,Вещественная константа,2.2
b,Идентификатор,4
1.38e-23,Вещественная константа,1.38e-23
if,Ключевое слово,Х1
a,Идентификатор,1
>,Оператор сравнения,
0,Вещественная константа,0
then,Ключевое слово,Х2
c,Идентификатор,5
:=,Знак присваивания,
5.0,Вещественная константа,5.0
a,Идентификатор,1
:=,Знак присваивания,
0.3,Вещественная константа,0.3
